emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,delinq_2y,months_since_last_delinq,total_credit_lines,account_never_delinq_percent,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,loan_status
manager,8.0,NE,MORTGAGE,56000.0,Verified,24.67,0,58.0,26,84.6,debt_consolidation,individual,20000,36,14.08,684.33,C,Fully Paid
correctional officer,10.0,OK,MORTGAGE,44393.0,Source Verified,18.36,0,,14,100.0,home_improvement,individual,1500,36,21.45,56.86,D,Current
customer service,3.0,CA,MORTGAGE,16000.0,Not Verified,41.34,0,28.0,16,87.5,debt_consolidation,joint,10000,36,14.08,342.17,C,Current
professor assistant,9.0,IN,RENT,33000.0,Source Verified,16.18,0,24.0,7,85.7,medical,individual,3000,36,13.59,101.94,C,Current
qa control,6.0,WI,OWN,45000.0,Not Verified,24.26,0,63.0,31,93.1,house,individual,15000,36,6.72,461.24,A,Current
,,MI,OWN,0.0,Source Verified,,0,,15,100.0,other,joint,10000,36,10.42,324.65,B,Fully Paid
product manager,10.0,MI,RENT,87000.0,Not Verified,19.96,0,72.0,18,94.4,credit_card,individual,19000,36,6.72,584.24,A,Current
welder,4.0,MI,MORTGAGE,71000.0,Not Verified,16.7,0,,18,100.0,credit_card,individual,18000,36,5.32,542.07,A,Current
office manager,10.0,VA,RENT,120000.0,Verified,13.37,0,,17,100.0,debt_consolidation,individual,30000,36,12.62,1005.34,C,Current
,,SC,MORTGAGE,44000.0,Verified,4.26,0,,17,100.0,debt_consolidation,individual,12000,60,14.08,279.72,C,Current
fork lift operator,10.0,CA,MORTGAGE,49500.0,Source Verified,9.5,0,,14,100.0,debt_consolidation,individual,15000,60,21.45,409.61,D,Current
,,OH,MORTGAGE,14400.0,Not Verified,31.33,0,61.0,13,92.3,credit_card,individual,2000,36,16.02,70.34,C,Current
manager ,7.0,NM,MORTGAGE,96000.0,Verified,18.66,0,,24,100.0,home_improvement,individual,25000,36,21.85,952.83,D,Current
insurance agent,4.0,FL,RENT,25000.0,Not Verified,19.44,0,,8,100.0,credit_card,joint,10000,36,11.99,332.1,B,Current
accounting clerk,5.0,PA,MORTGAGE,48712.0,Not Verified,4.48,0,101.0,8,87.5,debt_consolidation,individual,30000,60,28.72,947.15,F,Current
hr special projects manager,10.0,TN,MORTGAGE,140000.0,Not Verified,25.85,0,49.0,40,95.0,home_improvement,joint,28000,60,9.44,587.24,B,Current
administrative assistant,10.0,WA,MORTGAGE,38666.0,Verified,34.61,0,,9,100.0,debt_consolidation,individual,15000,60,18.06,381.4,D,Current
,,NM,OWN,40000.0,Verified,47.13,0,36.0,20,95.0,other,joint,1600,36,21.45,60.66,D,Current
administrative,8.0,NY,RENT,46000.0,Verified,35.64,1,23.0,29,96.6,debt_consolidation,joint,19200,60,11.98,426.9,B,Current
attorney,9.0,CA,RENT,41640.62,Source Verified,31.93,0,,43,100.0,debt_consolidation,individual,21275,36,19.03,780.18,D,Current
porter,2.0,NY,RENT,42000.0,Source Verified,20.89,0,,20,100.0,debt_consolidation,individual,15000,36,10.91,490.45,B,Fully Paid
police officer,10.0,MI,MORTGAGE,65000.0,Verified,52.03,0,44.0,32,81.3,debt_consolidation,joint,12000,60,14.08,279.72,C,Current
operations manager,10.0,AZ,MORTGAGE,65000.0,Not Verified,1.75,0,,14,100.0,credit_card,individual,8400,36,6.72,258.3,A,Current
,,CA,MORTGAGE,110000.0,Not Verified,11.2,0,,20,100.0,home_improvement,individual,15000,60,7.34,299.44,A,Current
sales associate ,1.0,CA,RENT,40000.0,Not Verified,26.61,0,,19,94.7,credit_card,individual,5200,36,6.08,158.39,A,Current
regional account manager ,10.0,MA,MORTGAGE,130000.0,Source Verified,20.11,0,24.0,34,88.2,debt_consolidation,joint,7000,36,6.72,215.25,A,Late (31-120 days)
pm,10.0,SC,MORTGAGE,68000.0,Verified,13.66,0,58.0,23,96.0,debt_consolidation,individual,20000,60,10.91,433.96,B,Current
occupational therapist,10.0,MD,MORTGAGE,77000.0,Verified,37.58,0,,26,100.0,debt_consolidation,joint,40000,36,14.08,1368.66,C,Current
analyst,2.0,MO,RENT,75000.0,Source Verified,15.04,0,56.0,13,46.2,credit_card,individual,10300,60,11.99,229.07,B,Current
,,AR,OWN,28560.0,Not Verified,10.71,2,11.0,30,90.0,other,individual,5000,36,14.07,171.06,C,Current
partner,1.0,NY,RENT,20000.0,Source Verified,32.05,0,,5,100.0,debt_consolidation,joint,14000,36,13.59,475.71,C,Current
retail sales consultant,4.0,NY,RENT,55000.0,Not Verified,11.87,0,,26,80.8,debt_consolidation,individual,18000,60,12.62,406.07,C,Current
emergency technician ,10.0,CA,MORTGAGE,70000.0,Source Verified,12.29,0,,35,100.0,debt_consolidation,individual,4000,36,14.07,136.85,C,Current
mechanic,7.0,MN,OWN,40000.0,Not Verified,34.89,0,,29,100.0,small_business,individual,16000,36,7.35,496.6,A,Current
driver,1.0,IL,RENT,29500.0,Verified,27.99,0,,17,100.0,credit_card,individual,8000,36,14.08,273.74,C,Current
accountant,2.0,TX,RENT,47700.0,Not Verified,7.68,0,,14,100.0,debt_consolidation,joint,10000,36,10.9,326.92,B,Current
,,CO,MORTGAGE,38550.0,Source Verified,23.38,0,,18,100.0,debt_consolidation,individual,12000,60,16.01,291.89,C,Current
,,MO,OWN,25000.0,Verified,40.04,0,,16,100.0,debt_consolidation,joint,12000,60,12.62,270.71,C,Current
nurse practitioner,2.0,OH,MORTGAGE,110000.0,Verified,28.29,1,20.0,53,96.2,credit_card,individual,30000,60,26.77,911.95,E,In Grace Period
rn,2.0,KY,MORTGAGE,81000.0,Source Verified,22.1,0,68.0,21,95.2,debt_consolidation,individual,12000,60,17.09,298.82,D,Current
maintenance manager,10.0,IN,MORTGAGE,65500.0,Verified,31.73,0,,22,100.0,debt_consolidation,individual,14400,36,13.59,489.3,C,Current
coding manager,9.0,LA,RENT,71000.0,Verified,17.36,0,27.0,32,93.8,debt_consolidation,individual,36350,60,12.61,819.84,C,Current
audit manager,7.0,OH,OWN,90000.0,Not Verified,19.88,0,,28,100.0,credit_card,individual,15000,36,6.08,456.88,A,Current
benefits adminsitrator,8.0,VA,MORTGAGE,36000.0,Source Verified,33.96,1,5.0,14,84.6,debt_consolidation,joint,21000,36,26.3,849.47,E,Current
material handler,10.0,OH,OWN,60000.0,Not Verified,12.42,2,19.0,25,76.0,credit_card,individual,10000,60,12.62,225.6,C,Current
table games dealer,2.0,CA,RENT,100000.0,Source Verified,14.05,0,,15,100.0,other,individual,27000,36,7.96,845.59,A,Current
,,SC,MORTGAGE,34385.0,Verified,23.05,0,,20,100.0,other,individual,4000,36,14.08,136.87,C,Fully Paid
medical coder,2.0,CA,RENT,44865.0,Verified,11.21,0,27.0,15,100.0,debt_consolidation,individual,12000,60,15.04,285.74,C,Current
security officer,8.0,PA,MORTGAGE,35000.0,Verified,60.63,0,,28,100.0,home_improvement,joint,10000,36,14.08,342.17,C,Current
ceo,10.0,AZ,MORTGAGE,144000.0,Verified,39.88,0,30.0,36,97.2,major_purchase,individual,30000,60,25.82,895.02,E,Current
allied health division chair,10.0,AR,OWN,170000.0,Source Verified,16.11,0,,35,100.0,debt_consolidation,individual,16000,60,9.93,339.41,B,Current
financial service representative,0.0,IL,RENT,40000.0,Verified,18.09,0,,8,100.0,debt_consolidation,individual,18000,60,13.58,414.92,C,Current
bus driver,3.0,FL,RENT,21000.0,Source Verified,8.11,0,29.0,7,85.7,debt_consolidation,individual,3000,36,16.01,105.49,C,Late (16-30 days)
senior planner,2.0,OR,RENT,61000.0,Source Verified,27.98,0,109.0,28,100.0,credit_card,individual,12000,36,13.59,407.75,C,Fully Paid
caregiver,2.0,WI,RENT,30000.0,Not Verified,37.36,0,63.0,29,96.6,debt_consolidation,individual,4200,36,13.58,142.7,C,Current
,,KS,OWN,75000.0,Not Verified,8.9,0,,33,100.0,house,individual,25000,36,5.32,752.87,A,Current
administrative assistant,4.0,FL,OWN,30000.0,Source Verified,22.96,0,,12,100.0,medical,individual,8800,36,10.9,287.69,B,Current
,,TX,MORTGAGE,11352.0,Verified,132.98,0,58.0,27,96.3,debt_consolidation,joint,5000,36,10.42,162.33,B,Current
sales,4.0,TX,MORTGAGE,48000.0,Source Verified,22.78,0,,39,100.0,house,individual,6000,36,9.93,193.41,B,Current
juvenile institutional officer ,10.0,CA,RENT,140000.0,Not Verified,7.89,0,28.0,11,100.0,debt_consolidation,individual,11500,36,6.72,353.62,A,Current
cad technician,10.0,VA,RENT,70000.0,Verified,0.0,0,,11,100.0,other,individual,37000,60,12.61,834.5,C,Fully Paid
first lieutenant,3.0,SC,RENT,66300.0,Source Verified,29.02,0,,9,100.0,debt_consolidation,individual,16000,36,12.62,536.18,C,Current
corrective maintain tech,10.0,TN,MORTGAGE,65000.0,Source Verified,23.08,0,38.0,20,80.0,debt_consolidation,individual,18000,36,9.43,576.01,B,Current
,,AZ,MORTGAGE,0.0,Not Verified,,0,,6,100.0,home_improvement,joint,15600,60,12.61,351.85,C,Current
operations manager,7.0,CA,MORTGAGE,100100.0,Source Verified,30.05,0,,16,100.0,home_improvement,joint,7000,36,6.07,213.18,A,Current
fnp ,6.0,LA,RENT,100000.0,Not Verified,23.72,1,5.0,31,84.0,credit_card,individual,18000,36,9.93,580.22,B,Current
evs,3.0,OH,RENT,32000.0,Not Verified,18.19,0,,19,100.0,car,individual,6000,36,16.02,211.01,C,Current
oil operator ,3.0,FL,MORTGAGE,140000.0,Source Verified,9.74,0,,22,100.0,debt_consolidation,individual,35000,36,13.58,1189.09,C,Current
stylist,10.0,CA,RENT,48000.0,Source Verified,7.13,0,,8,100.0,other,individual,5000,36,7.35,155.19,A,Current
government affairs director,3.0,VA,RENT,113500.0,Verified,0.97,0,,12,100.0,debt_consolidation,joint,40000,36,7.35,1241.5,A,Current
sales manager,4.0,TN,MORTGAGE,47500.0,Verified,42.27,0,,36,100.0,debt_consolidation,joint,23500,60,13.59,541.83,C,Current
senior logistics analyst,1.0,VA,RENT,91000.0,Source Verified,4.48,0,,14,100.0,other,individual,2200,36,11.99,73.07,B,Current
"assistant director, budget & finance",0.0,TN,MORTGAGE,91000.0,Source Verified,22.31,0,,33,100.0,credit_card,individual,40000,36,5.32,1204.6,A,Current
teacher,10.0,MT,RENT,59000.0,Verified,41.86,0,60.0,21,90.5,debt_consolidation,joint,40000,36,6.07,1218.15,A,Current
coordinator ,2.0,FL,OWN,25200.0,Not Verified,6.86,0,56.0,17,94.1,debt_consolidation,individual,3000,36,11.98,99.62,B,Current
security engineer,3.0,GA,MORTGAGE,175000.0,Source Verified,22.84,0,32.0,34,97.1,credit_card,individual,40000,36,11.98,1328.2,B,Current
power operations coordinator ,10.0,AR,MORTGAGE,120000.0,Verified,25.23,0,68.0,43,97.7,debt_consolidation,individual,20000,36,11.99,664.2,B,Current
security ,1.0,TN,RENT,36000.0,Source Verified,3.34,1,12.0,6,83.3,debt_consolidation,individual,12000,36,11.99,398.52,B,Current
owner,10.0,CA,OWN,90000.0,Source Verified,25.23,1,7.0,28,92.9,car,individual,10000,36,7.97,313.23,A,Current
sales,10.0,CA,MORTGAGE,220000.0,Source Verified,17.69,0,,15,100.0,debt_consolidation,individual,20400,36,6.08,621.35,A,Current
sales supervisor,4.0,FL,MORTGAGE,61000.0,Not Verified,5.9,0,64.0,18,94.4,debt_consolidation,individual,16000,60,16.02,389.26,C,Current
cleaner,10.0,NY,RENT,88000.0,Verified,11.32,1,20.0,16,87.5,debt_consolidation,individual,35000,36,16.01,1230.67,C,Current
operator,10.0,MO,MORTGAGE,75000.0,Not Verified,30.69,0,37.0,25,96.0,debt_consolidation,individual,28000,36,17.09,999.54,D,Current
district manager,4.0,IL,OWN,150000.0,Verified,7.77,0,,19,100.0,debt_consolidation,individual,35000,36,13.59,1189.26,C,Current
project coordinator ,3.0,CA,RENT,34560.0,Not Verified,6.01,0,,8,100.0,debt_consolidation,individual,5000,36,10.91,163.49,B,Current
merchandise ,5.0,NY,RENT,79800.0,Not Verified,2.05,0,,8,100.0,medical,individual,1000,36,17.09,35.7,D,Current
owner,0.0,FL,MORTGAGE,200000.0,Verified,14.45,1,23.0,32,96.9,other,individual,35000,36,9.43,1120.01,B,Current
security officer,1.0,IL,RENT,40000.0,Source Verified,14.01,0,29.0,13,92.3,credit_card,individual,15000,60,14.07,349.57,C,Current
labor ,9.0,AR,MORTGAGE,60000.0,Not Verified,25.66,0,63.0,40,97.5,debt_consolidation,individual,20000,60,9.93,424.26,B,Current
parts manager,5.0,WV,RENT,70000.0,Not Verified,12.41,0,36.0,13,92.3,debt_consolidation,individual,7000,36,16.01,246.14,C,Current
biostatistician/epidemiologist,10.0,MS,RENT,104000.0,Not Verified,18.24,0,80.0,24,95.8,debt_consolidation,individual,15000,36,5.32,451.73,A,Current
branch manager,3.0,FL,MORTGAGE,250000.0,Not Verified,0.67,0,,20,100.0,car,individual,10000,36,5.32,301.15,A,Current
,,TX,OWN,30000.0,Not Verified,35.56,0,80.0,23,88.2,car,individual,2000,36,12.62,67.03,C,Current
,,MO,MORTGAGE,0.0,Not Verified,,0,,19,100.0,debt_consolidation,joint,14925,60,24.85,436.76,E,Current
claims specialist,10.0,MS,MORTGAGE,65000.0,Source Verified,15.18,0,32.0,28,96.4,debt_consolidation,individual,11000,36,9.44,352.06,B,Current
food server,7.0,NV,RENT,32000.0,Source Verified,8.7,0,,6,100.0,debt_consolidation,individual,12000,60,15.04,285.74,C,Current
front end engineer,0.0,GA,RENT,85000.0,Source Verified,2.06,0,36.0,5,80.0,credit_card,individual,32000,60,16.02,778.52,C,Current
it application architect,5.0,TX,RENT,100000.0,Not Verified,11.53,0,50.0,4,75.0,other,individual,30000,60,17.47,753.18,D,Current
district conservationist,10.0,MD,MORTGAGE,99000.0,Source Verified,24.29,0,39.0,34,97.1,debt_consolidation,individual,25000,36,6.08,761.46,A,Current
associate professor,9.0,MO,MORTGAGE,71000.0,Not Verified,17.67,0,,24,100.0,debt_consolidation,individual,24500,60,9.93,519.71,B,Current
certifying scientist,10.0,NC,MORTGAGE,120000.0,Source Verified,33.22,0,,52,100.0,debt_consolidation,individual,20000,36,14.08,684.33,C,Current
delivery driver,0.0,MN,RENT,60000.0,Not Verified,12.8,0,,16,100.0,credit_card,individual,9600,36,11.99,318.82,B,Current
store manager,4.0,IN,MORTGAGE,53000.0,Source Verified,28.96,1,21.0,35,97.1,credit_card,individual,10625,36,5.31,319.93,A,Current
,,DC,MORTGAGE,106686.0,Verified,19.96,0,37.0,29,92.9,home_improvement,individual,40000,60,16.01,972.94,C,Current
,,PA,MORTGAGE,70400.0,Source Verified,22.08,0,,13,92.3,other,individual,24000,60,13.58,553.23,C,Current
attorney at law,8.0,CA,RENT,100000.0,Verified,28.24,0,81.0,24,95.8,small_business,individual,30000,60,14.07,699.14,C,Current
director of detention services,10.0,NC,MORTGAGE,120000.0,Source Verified,23.28,0,,41,100.0,debt_consolidation,individual,21000,36,7.35,651.79,A,Current
,,WI,OWN,40000.0,Verified,16.26,0,,17,100.0,debt_consolidation,joint,18000,60,10.42,386.18,B,Current
production artist/retoucher,1.0,WA,RENT,75000.0,Not Verified,6.29,0,,12,100.0,debt_consolidation,individual,12000,60,10.42,257.46,B,Current
credit administrator,10.0,SC,MORTGAGE,107000.0,Not Verified,9.79,0,,27,100.0,debt_consolidation,individual,40000,60,7.35,798.67,A,Current
aro,10.0,NY,OWN,59000.0,Not Verified,18.26,0,,17,100.0,other,individual,6000,36,11.99,199.26,B,Current
analyst,2.0,KY,MORTGAGE,85000.0,Not Verified,10.29,0,,13,100.0,credit_card,joint,20000,36,7.34,620.66,A,Current
sales & marketing,3.0,PA,MORTGAGE,50000.0,Source Verified,22.13,0,,35,100.0,credit_card,individual,24000,60,9.93,509.11,B,Current
registered nurse,10.0,WA,MORTGAGE,65000.0,Not Verified,44.7,0,49.0,28,96.4,debt_consolidation,joint,35000,60,13.58,806.79,C,In Grace Period
shop forman ,6.0,TX,MORTGAGE,60000.0,Not Verified,23.56,0,39.0,25,92.0,credit_card,individual,2500,36,7.35,77.6,A,Current
towtruck driver,10.0,AZ,RENT,45000.0,Not Verified,31.44,0,67.0,26,96.2,credit_card,individual,10000,60,14.07,233.05,C,Current
sr software engineer,10.0,MN,MORTGAGE,85000.0,Source Verified,27.12,0,66.0,27,96.3,credit_card,individual,30000,36,11.99,996.29,B,Current
field foreman ,10.0,LA,OWN,110000.0,Not Verified,12.28,0,39.0,13,92.3,other,individual,12500,36,9.44,400.07,B,Current
vice president ,6.0,NY,RENT,240000.0,Verified,2.99,0,62.0,28,96.3,other,individual,15000,36,5.31,451.66,A,Current
msg,10.0,NC,MORTGAGE,65000.0,Verified,28.31,0,,15,100.0,home_improvement,individual,20000,60,14.08,466.2,C,Current
shipping supervisor,2.0,PA,MORTGAGE,32000.0,Source Verified,39.77,0,31.0,29,69.0,debt_consolidation,joint,11500,60,19.03,298.51,D,Current
human resources,2.0,VA,MORTGAGE,36000.0,Source Verified,12.23,0,,19,100.0,debt_consolidation,individual,25000,60,14.07,582.62,C,Fully Paid
materials specialist ii,10.0,CA,MORTGAGE,60000.0,Source Verified,12.02,0,28.0,19,94.4,debt_consolidation,individual,13150,36,6.72,404.36,A,Current
owner,1.0,AZ,MORTGAGE,80000.0,Source Verified,4.65,1,9.0,26,100.0,credit_card,individual,4000,36,5.31,120.45,A,Current
business manager,10.0,MO,MORTGAGE,129000.0,Source Verified,17.19,0,,18,100.0,home_improvement,individual,40000,60,9.44,838.91,B,Current
executive assistant ,0.0,TX,RENT,62000.0,Not Verified,20.79,0,,10,100.0,debt_consolidation,individual,9000,36,6.08,274.13,A,Current
sr loan processor ,6.0,OH,OWN,75000.0,Verified,19.98,0,,14,100.0,credit_card,individual,20000,60,18.45,512.78,D,Current
accountant,10.0,TX,MORTGAGE,55000.0,Not Verified,22.67,0,,33,100.0,debt_consolidation,individual,4200,36,10.9,137.31,B,Current
claims customer service,10.0,TX,OWN,72949.0,Source Verified,6.02,0,78.0,26,96.2,credit_card,individual,20000,60,14.08,466.2,C,Current
avp of edi,9.0,CA,MORTGAGE,216000.0,Source Verified,4.27,0,,39,100.0,debt_consolidation,individual,25000,60,9.93,530.32,B,Fully Paid
owner,10.0,WY,RENT,55000.0,Source Verified,89.07,0,,28,100.0,other,joint,23000,36,10.9,751.91,B,Current
teacher,10.0,GA,RENT,82500.0,Not Verified,26.98,0,,40,100.0,debt_consolidation,individual,24000,60,15.05,571.59,C,Current
administrator,10.0,VA,RENT,88000.0,Not Verified,12.21,1,18.0,28,96.4,credit_card,individual,24000,36,7.35,744.9,A,Current
nurse,0.0,MN,RENT,85000.0,Verified,53.25,0,,23,100.0,debt_consolidation,joint,30150,36,26.3,1219.59,E,Current
networks,10.0,NY,RENT,75000.0,Verified,28.82,0,,37,100.0,debt_consolidation,joint,40000,36,5.31,1204.42,A,Current
distribution,8.0,GA,MORTGAGE,65000.0,Not Verified,20.66,0,,10,100.0,debt_consolidation,individual,20000,60,9.93,424.26,B,Current
program analyst,2.0,OR,MORTGAGE,65900.0,Not Verified,39.57,0,76.0,12,83.3,credit_card,joint,24000,60,18.06,610.23,D,Current
,,NC,MORTGAGE,0.0,Not Verified,,0,26.0,22,95.5,credit_card,joint,8000,36,10.9,261.54,B,Current
billing specialist,2.0,KY,MORTGAGE,34320.0,Not Verified,33.78,0,,36,100.0,credit_card,joint,10000,36,7.97,313.23,A,Current
area director of sales,4.0,NY,RENT,112000.0,Not Verified,8.64,2,8.0,17,88.2,home_improvement,individual,15000,36,9.93,483.52,B,Current
films clerk,10.0,TX,MORTGAGE,59000.0,Source Verified,25.94,0,,9,100.0,medical,individual,6300,36,7.35,195.54,A,Current
managing director,4.0,WY,MORTGAGE,750000.0,Source Verified,9.63,1,15.0,32,96.9,debt_consolidation,individual,35000,36,14.08,1197.58,C,Current
,,NY,MORTGAGE,85000.0,Not Verified,18.07,0,,22,95.5,debt_consolidation,individual,38000,60,10.91,824.51,B,Current
pharmacy tech,5.0,WI,MORTGAGE,33000.0,Verified,22.25,0,29.0,50,90.0,debt_consolidation,individual,5300,36,19.03,194.36,D,Current
,,CA,OWN,104000.0,Source Verified,2.43,1,16.0,10,80.0,debt_consolidation,individual,10000,36,7.35,310.38,A,Current
sales representative t,6.0,FL,OWN,92000.0,Source Verified,17.94,2,17.0,18,77.8,debt_consolidation,individual,20000,36,10.42,649.3,B,Current
rn,5.0,NH,RENT,50000.0,Source Verified,18.7,0,,10,100.0,credit_card,individual,14000,36,16.02,492.34,C,Current
workforce development consultant,0.0,NY,MORTGAGE,98000.0,Source Verified,21.27,0,45.0,19,95.0,debt_consolidation,individual,28000,60,21.45,764.6,D,Current
instructor,9.0,FL,MORTGAGE,50000.0,Not Verified,17.88,1,4.0,15,53.3,major_purchase,joint,8000,36,13.58,271.8,C,Current
office manager,5.0,WA,MORTGAGE,46000.0,Verified,24.47,0,,21,100.0,debt_consolidation,individual,6700,36,14.08,229.26,C,Current
tool maker ,10.0,CT,RENT,80000.0,Not Verified,20.91,0,,33,100.0,credit_card,individual,8000,36,7.34,248.27,A,Current
deputy warden,10.0,OK,MORTGAGE,64106.0,Source Verified,33.04,0,,15,100.0,credit_card,individual,25000,36,16.02,879.18,C,Current
coordinator of admission ,8.0,NC,OWN,70000.0,Source Verified,12.05,0,,42,100.0,house,individual,15000,36,9.44,480.08,B,Current
national sales ,3.0,NE,RENT,103000.0,Not Verified,14.69,0,,30,100.0,credit_card,individual,27200,60,12.62,613.61,C,Current
resource specialist/program manager,3.0,CA,RENT,53000.0,Not Verified,21.13,0,,25,100.0,car,individual,6600,36,7.35,204.85,A,Current
registered nurse,1.0,KS,MORTGAGE,101000.0,Not Verified,27.74,0,,43,100.0,debt_consolidation,individual,16600,36,6.07,505.54,A,Current
health assistant,2.0,AZ,RENT,18000.0,Verified,31.33,0,65.0,44,97.3,debt_consolidation,joint,9000,36,9.93,290.11,B,Current
teacher,9.0,TN,MORTGAGE,36900.0,Not Verified,22.57,0,,17,100.0,debt_consolidation,individual,10000,60,9.43,209.68,B,Current
dealer,0.0,NY,OWN,35000.0,Not Verified,12.72,0,,22,100.0,credit_card,individual,9000,36,5.31,271.0,A,Current
contractor,10.0,CA,RENT,40000.0,Source Verified,21.42,0,,12,100.0,credit_card,individual,16000,36,17.09,571.17,D,Fully Paid
technician ,7.0,NY,MORTGAGE,75000.0,Not Verified,11.2,1,10.0,26,92.0,other,joint,16000,60,9.93,339.41,B,Current
driver,1.0,MO,RENT,80000.0,Source Verified,18.15,0,,37,100.0,debt_consolidation,joint,30000,60,19.03,778.72,D,Current
,,NY,MORTGAGE,105000.0,Verified,17.66,1,18.0,16,75.0,debt_consolidation,individual,35000,60,17.47,878.71,D,Current
quality assurance engineer,2.0,CA,RENT,78500.0,Not Verified,17.53,0,,14,100.0,debt_consolidation,individual,9000,36,7.34,279.3,A,Current
process analyst,10.0,SD,MORTGAGE,68000.0,Not Verified,16.85,0,,21,100.0,credit_card,individual,11000,60,6.72,216.37,A,Current
teacher,10.0,MD,OWN,105000.0,Not Verified,22.54,0,,28,96.4,credit_card,individual,16000,36,6.72,491.99,A,Current
forklift operator,4.0,CA,MORTGAGE,50000.0,Not Verified,12.67,0,,19,100.0,debt_consolidation,individual,14000,36,10.91,457.75,B,Current
crane operator,6.0,PA,RENT,68000.0,Source Verified,23.28,0,27.0,32,80.0,credit_card,individual,21000,60,16.02,510.91,C,Current
sr buyer,10.0,TX,MORTGAGE,73000.0,Verified,15.09,0,26.0,32,96.7,debt_consolidation,individual,25000,36,6.72,768.74,A,Current
rural carrier,10.0,MS,OWN,60372.0,Not Verified,13.3,0,61.0,34,76.5,other,individual,3000,36,9.93,96.71,B,Current
owner ,6.0,MO,MORTGAGE,60000.0,Verified,19.64,0,,12,100.0,home_improvement,individual,35000,60,21.45,955.75,D,Current
chief estimator,7.0,CA,RENT,157000.0,Source Verified,5.74,0,,22,100.0,debt_consolidation,individual,35000,60,12.61,789.39,C,Current
patent examiner,10.0,SC,MORTGAGE,165000.0,Source Verified,31.64,0,,57,100.0,credit_card,individual,35000,60,21.45,955.75,D,Current
registered nurse,7.0,CA,RENT,140000.0,Not Verified,3.23,0,56.0,9,88.9,other,individual,10000,36,11.99,332.1,B,Current
,,NY,OWN,44100.0,Source Verified,10.69,0,,20,100.0,debt_consolidation,individual,18000,36,6.08,548.25,A,Current
systems analyst,6.0,CT,RENT,90000.0,Source Verified,10.33,0,,6,100.0,debt_consolidation,individual,17000,60,18.45,435.87,D,Current
cip compliance specialist,5.0,OR,RENT,105000.0,Source Verified,12.54,0,,9,100.0,small_business,individual,1200,36,24.85,47.62,E,Current
area operation supervisor,1.0,OR,MORTGAGE,53038.52,Source Verified,8.92,0,43.0,16,93.8,debt_consolidation,individual,20000,36,14.08,684.33,C,Current
residential assistant manager,4.0,NC,MORTGAGE,40000.0,Source Verified,15.0,0,52.0,14,100.0,debt_consolidation,joint,20000,60,15.05,476.33,C,Current
captain,10.0,CA,MORTGAGE,190000.0,Source Verified,21.21,0,59.0,48,97.9,debt_consolidation,individual,40000,36,9.43,1280.01,B,Current
bridge tender,3.0,FL,MORTGAGE,79584.0,Not Verified,17.08,0,,40,100.0,debt_consolidation,joint,15600,36,6.72,479.69,A,Current
teacher,10.0,MN,MORTGAGE,61000.0,Not Verified,25.65,0,,31,100.0,debt_consolidation,individual,8000,36,6.71,245.96,A,Current
registered nurse,1.0,ID,RENT,30000.0,Source Verified,10.52,0,,10,100.0,major_purchase,individual,20000,36,9.44,640.1,B,Fully Paid
postdoctoral research associate,2.0,IL,RENT,54000.0,Source Verified,6.31,0,,9,100.0,major_purchase,individual,3000,36,9.44,96.02,B,Current
laborer,0.0,AR,MORTGAGE,57000.0,Verified,27.79,0,,27,100.0,credit_card,joint,32000,60,10.42,686.54,B,Current
program analyst,10.0,MD,RENT,120000.0,Verified,37.72,2,14.0,29,90.0,debt_consolidation,individual,2200,36,30.65,94.18,F,Current
cook,2.0,NV,MORTGAGE,43000.0,Source Verified,19.7,0,36.0,26,76.0,debt_consolidation,individual,5000,36,9.93,161.18,B,Current
secretary ,4.0,NY,OWN,55000.0,Source Verified,28.95,0,,29,100.0,credit_card,individual,10000,36,9.43,320.01,B,Current
owner,10.0,AZ,RENT,50000.0,Not Verified,16.61,0,51.0,28,90.0,debt_consolidation,joint,13000,36,9.44,416.07,B,Current
general manager,0.0,DC,MORTGAGE,100000.0,Verified,18.42,0,78.0,29,96.6,credit_card,joint,16000,36,11.99,531.36,B,Current
marketing manager,2.0,WA,MORTGAGE,150000.0,Verified,31.74,0,63.0,60,98.3,home_improvement,individual,24000,60,21.85,660.81,D,Current
student services senior professional,2.0,CO,RENT,65000.0,Source Verified,33.81,0,,43,100.0,debt_consolidation,individual,30000,36,13.58,1019.22,C,Current
assistant manager,3.0,AZ,RENT,32000.0,Not Verified,36.01,0,,6,100.0,credit_card,individual,6600,36,7.35,204.85,A,Current
it specialist,10.0,GA,MORTGAGE,84000.0,Not Verified,4.64,2,14.0,39,89.5,debt_consolidation,individual,10500,36,7.97,328.89,A,Current
executive director,1.0,FL,MORTGAGE,112000.0,Not Verified,20.56,0,69.0,49,98.0,debt_consolidation,individual,20000,36,25.82,803.9,E,Current
registered nurse,10.0,SD,MORTGAGE,54000.0,Not Verified,12.82,1,15.0,28,96.4,credit_card,individual,3800,36,9.43,121.61,B,Current
chef,10.0,MA,RENT,44640.0,Source Verified,0.0,2,4.0,4,50.0,other,individual,20000,36,14.07,684.24,C,Fully Paid
tech,2.0,MO,MORTGAGE,42000.0,Source Verified,32.0,0,63.0,20,94.7,credit_card,joint,18000,36,20.0,668.95,D,Current
